dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,low_light,4,caution,caution,caution,performance,absolute_accuracy_drop,absolute accuracy drop,0.09334916864608078,0.05,0.15,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,4,caution,caution,caution,performance,relative_error_increase,relative error increase,0.7136803874092013,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,do_not_trust,do_not_trust,caution,confidence,ece_increase,ECE increase,0.07173963092969511,0.03,0.08,caution,True,True,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,do_not_trust,do_not_trust,caution,confidence,fixed_hcer_increase,fixed HCER increase,0.002692003167062501,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,do_not_trust,do_not_trust,caution,confidence,gap_deterioration,confidence gap deterioration,0.07173963092969501,0.05,0.12,caution,True,True,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,do_not_trust,do_not_trust,caution,performance,absolute_accuracy_drop,absolute accuracy drop,0.18313539192399053,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,5,do_not_trust,do_not_trust,caution,performance,relative_error_increase,relative error increase,1.4001210653753031,1.0,3.0,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,none,0,trust,trust,trust,confidence,ece_increase,ECE increase,0.0,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,none,0,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.0,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,ResNet18,42,none,0,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.0,0.05,0.12,trust,False,False,False,unchanged,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
